Account,Post Type,Media ID,Caption,Date,Location,Post URL,Type Name,Media Count,Caption Hashtags,Caption Mentions,Likes,Comments,Title,URL
stoopingnyc,post,3209801032967881617,"For the morning after the snacks the night before…Outside 251 W 19th street--sign says ""free not broken"" #stoopingnyc",2023-10-09 13:28:42,None,https://www.instagram.com/p/CyLgQiBu4OR,GraphImage,1,['stoopingnyc'],[],93,1,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/387266903_635298385430780_8541672970765878101_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=HNqxaoOTg4IAX9CPwf9&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwOTgwMTAzMjk2Nzg4MTYxNw%3D%3D.2-ccb7-5&oh=00_AfDMZA7lZY50Fln5lVGRE402YYot7CsRSyMr8O3r5GuZZw&oe=6528AE0E&_nc_sid=8b3546
stoopingnyc,post,3209800497480987582,@lewishamilton …this stoop’s for you! 70 lenox rd Brooklyn #stoopingbrooklyn,2023-10-09 13:27:38,None,https://www.instagram.com/p/CyLgIvUOfO-,GraphImage,1,['stoopingbrooklyn'],['lewishamilton'],132,6,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/386925593_854785809609250_6114033259838343825_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=946mv18u8vcAX8sgvz5&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwOTgwMDQ5NzQ4MDk4NzU4Mg%3D%3D.2-ccb7-5&oh=00_AfDm-JVeixexefGLZnh_h-aNc8BbDJ6-qqOrzSVfX87mlA&oe=65299B70&_nc_sid=8b3546
stoopingnyc,post,3209262328717135979,What MCM dreams are made of…on 8th between Carroll and president #stoopingbrooklyn,2023-10-08 19:38:23,None,https://www.instagram.com/p/CyJlxWmOlBr,GraphImage,1,['stoopingbrooklyn'],[],3609,58,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/387666948_264645072654075_5307600750895135091_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=103&_nc_ohc=yLL-RiNBph8AX8p3mJ3&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwOTI2MjMyODcxNzEzNTk3OQ%3D%3D.2-ccb7-5&oh=00_AfBKhBUUBfrOH3yPN7Uz-48PjgxoQK53GXakNg4NUQe_0w&oe=65292E83&_nc_sid=8b3546
stoopingnyc,post,3209261247677128388,For introverts that still want to drink 🍹  bring the bar home with you…On Hampton place and sterling pl in crown heights #stoopingbrooklyn,2023-10-08 19:36:15,None,https://www.instagram.com/p/CyJlhnzON7E,GraphImage,1,['stoopingbrooklyn'],[],173,4,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/387269192_219847910906796_1201697695237375494_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=100&_nc_ohc=NsGIMbG8yQgAX-y2PUN&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwOTI2MTI0NzY3NzEyODM4OA%3D%3D.2-ccb7-5&oh=00_AfDozgo8JWWGfQ7q0_-RshqOD7Q_Lw9QxVcvmLABkf9ijA&oe=6529BC75&_nc_sid=8b3546
stoopingnyc,post,3209260426096886130,Does alternate side parking still apply? Van brunt & commerce #stooping,2023-10-08 19:34:37,None,https://www.instagram.com/p/CyJlVqpOUFy,GraphImage,1,['stooping'],[],214,4,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/387267809_673252401447829_7574684171075557217_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=uPG0lEDfkpEAX-ejjQ7&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwOTI2MDQyNjA5Njg4NjEzMA%3D%3D.2-ccb7-5&oh=00_AfBfz23027HCi2gVkwiyUCAnaVgvciqeyr6WruvbgUt3RA&oe=652832BF&_nc_sid=8b3546
stoopingnyc,post,3209197124226532133,Another stooper caption! “For those going for that Louis XV look. 👑 “. 1450 dean street. #stoopingbrooklyn,2023-10-08 17:28:50,None,https://www.instagram.com/p/CyJW8gLukMl,GraphImage,1,['stoopingbrooklyn'],[],648,10,,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-15/387265968_247908527838526_2189057509111857300_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=110&_nc_ohc=euZeACLI0A0AX9yOZVb&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwOTE5NzEyNDIyNjUzMjEzMw%3D%3D.2-ccb7-5&oh=00_AfCvWgwEw5RgpXMm54zp465fA2NpgL-J__3FZ8tGhFY0MA&oe=6529C52F&_nc_sid=8b3546
stoopingnyc,post,3209187444267707680,Stooper caption! “Oh my gourd!” 😂. Outside Trader Joe’s on 21st and 6th. #stooping,2023-10-08 17:09:37,None,https://www.instagram.com/p/CyJUvpBOG0g,GraphImage,1,['stooping'],[],662,15,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/387271312_7033730963303844_6450735317214550781_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=100&_nc_ohc=in1Dc-0UufAAX8cXbQs&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwOTE4NzQ0NDI2NzcwNzY4MA%3D%3D.2-ccb7-5&oh=00_AfCcuiDWjZdhloNOkTIAe33EM9RYQJScsjMi9RrT3uzqUA&oe=652A0B4E&_nc_sid=8b3546
stoopingnyc,post,3209140827322025555,Our first jet pack…which means CAPTION CONTEST!! 5th Ave - between 2nd and 3rd - park slope #stoopingbrooklyn,2023-10-08 15:36:59,None,https://www.instagram.com/p/CyJKJRmu4ZT,GraphImage,1,['stoopingbrooklyn'],[],3867,126,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/387649012_354249160366608_5736303195471472526_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=100&_nc_ohc=wtrFG3Cjw-UAX8evBsu&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwOTE0MDgyNzMyMjAyNTU1NQ%3D%3D.2-ccb7-5&oh=00_AfAgbkVOp_TqXfhgbocqHp_-Z3yWRZLmvzu_74Jyx5Yogw&oe=6528BCC1&_nc_sid=8b3546
stoopingnyc,post,3209131155969957658,"Beautiful big ceramic bowls, a stool and of course space water balls. 123 Sherman in Windsor terrace. #stoopingbrooklyn",2023-10-08 15:18:30,None,https://www.instagram.com/p/CyJH8idOl8a,GraphVideo,1,['stoopingbrooklyn'],[],153,1,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/386955683_251759570725108_8467992575101908402_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=104&_nc_ohc=UNKrvFO3ATwAX87hkpz&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAKOt9-XzDMNTcFxJX-C1CYlCK05WRq9Payzxno7opAbQ&oe=65262EEB&_nc_sid=8b3546
stoopingnyc,post,3209107264878716698,Now you can even drink alone at home…On Hampton place and sterling pl in crown heights #stoopingbrooklyn,2023-10-08 14:30:18,None,https://www.instagram.com/p/CyJCg4JOKca,GraphImage,1,['stoopingbrooklyn'],[],601,14,,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/386936745_679838927185188_1207525309462262289_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=100&_nc_ohc=_sxlCWKw5ooAX-8kJ83&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzIwOTEwNzI2NDg3ODcxNjY5OA%3D%3D.2-ccb7-5&oh=00_AfBeWdTyQf-qPvk5kPLnjo8kEcnP2UgcO_EwkkocvM6ntw&oe=65284018&_nc_sid=8b3546
